"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
location_contact_other_d1_11,contact_day_1_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d1_hh_11(12)]=""1""",y,,,,,
contact_mask_d1_hh_11,contact_day_1_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d1_hh_11]=""1""",y,,,,,
duration_contact_d1_hh_11,contact_day_1_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d1_hh_11]=""1""",y,,,,,
frequency_contact_d1_hh_11,contact_day_1_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d1_hh_11]=""1""",y,,,,,
known_contact_d1_hh_11,contact_day_1_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d1_hh_11]=""1""",y,,,,,
contact_id_d1_hh_12,contact_day_1_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][12]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 12",y,,,,,
touch_contact_d1_hh_12,contact_day_1_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d1_hh_12]=""1""",y,,,,,
where_contact_d1_hh_12,contact_day_1_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d1_hh_12]=""1""",y,,,,,
location_contact_d1_hh_12,contact_day_1_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d1_hh_12]=""1""",y,,,,,
location_contact_other_d1_12,contact_day_1_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d1_hh_12(12)]=""1""",y,,,,,
contact_mask_d1_hh_12,contact_day_1_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d1_hh_12]=""1""",y,,,,,
duration_contact_d1_hh_12,contact_day_1_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d1_hh_12]=""1""",y,,,,,
frequency_contact_d1_hh_12,contact_day_1_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d1_hh_12]=""1""",y,,,,,
known_contact_d1_hh_12,contact_day_1_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d1_hh_12]=""1""",y,,,,,
contact_id_d1_hh_13,contact_day_1_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][13]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 13",y,,,,,
touch_contact_d1_hh_13,contact_day_1_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d1_hh_13]=""1""",y,,,,,
where_contact_d1_hh_13,contact_day_1_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d1_hh_13]=""1""",y,,,,,
location_contact_d1_hh_13,contact_day_1_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d1_hh_13]=""1""",y,,,,,
location_contact_other_d1_13,contact_day_1_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d1_hh_13(12)]=""1""",y,,,,,
contact_mask_d1_hh_13,contact_day_1_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d1_hh_13]=""1""",y,,,,,
duration_contact_d1_hh_13,contact_day_1_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d1_hh_13]=""1""",y,,,,,
frequency_contact_d1_hh_13,contact_day_1_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d1_hh_13]=""1""",y,,,,,
known_contact_d1_hh_13,contact_day_1_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d1_hh_13]=""1""",y,,,,,
contact_id_d1_hh_14,contact_day_1_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][14]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 14",y,,,,,
touch_contact_d1_hh_14,contact_day_1_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d1_hh_14]=""1""",y,,,,,
where_contact_d1_hh_14,contact_day_1_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d1_hh_14]=""1""",y,,,,,
location_contact_d1_hh_14,contact_day_1_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d1_hh_14]=""1""",y,,,,,
location_contact_other_d1_14,contact_day_1_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d1_hh_14(12)]=""1""",y,,,,,
contact_mask_d1_hh_14,contact_day_1_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d1_hh_14]=""1""",y,,,,,
duration_contact_d1_hh_14,contact_day_1_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d1_hh_14]=""1""",y,,,,,
frequency_contact_d1_hh_14,contact_day_1_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d1_hh_14]=""1""",y,,,,,
known_contact_d1_hh_14,contact_day_1_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d1_hh_14]=""1""",y,,,,,
contact_id_d1_hh_15,contact_day_1_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][15]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 15",y,,,,,
touch_contact_d1_hh_15,contact_day_1_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d1_hh_15]=""1""",y,,,,,
where_contact_d1_hh_15,contact_day_1_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d1_hh_15]=""1""",y,,,,,
location_contact_d1_hh_15,contact_day_1_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d1_hh_15]=""1""",y,,,,,
location_contact_other_d1_15,contact_day_1_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d1_hh_15(12)]=""1""",y,,,,,
contact_mask_d1_hh_15,contact_day_1_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d1_hh_15]=""1""",y,,,,,
duration_contact_d1_hh_15,contact_day_1_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d1_hh_15]=""1""",y,,,,,
frequency_contact_d1_hh_15,contact_day_1_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d1_hh_15]=""1""",y,,,,,
known_contact_d1_hh_15,contact_day_1_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d1_hh_15]=""1""",y,,,,,
contact_id_d1_hh_16,contact_day_1_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][16]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 16",y,,,,,
touch_contact_d1_hh_16,contact_day_1_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d1_hh_16]=""1""",y,,,,,
where_contact_d1_hh_16,contact_day_1_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d1_hh_16]=""1""",y,,,,,
location_contact_d1_hh_16,contact_day_1_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d1_hh_16]=""1""",y,,,,,
location_contact_other_d1_16,contact_day_1_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d1_hh_16(12)]=""1""",y,,,,,
contact_mask_d1_hh_16,contact_day_1_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d1_hh_16]=""1""",y,,,,,
duration_contact_d1_hh_16,contact_day_1_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d1_hh_16]=""1""",y,,,,,
frequency_contact_d1_hh_16,contact_day_1_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d1_hh_16]=""1""",y,,,,,
known_contact_d1_hh_16,contact_day_1_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d1_hh_16]=""1""",y,,,,,
contact_id_d1_hh_17,contact_day_1_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][17]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 17",y,,,,,
touch_contact_d1_hh_17,contact_day_1_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d1_hh_17]=""1""",y,,,,,
where_contact_d1_hh_17,contact_day_1_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d1_hh_17]=""1""",y,,,,,
location_contact_d1_hh_17,contact_day_1_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d1_hh_17]=""1""",y,,,,,
location_contact_other_d1_17,contact_day_1_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d1_hh_17(12)]=""1""",y,,,,,
contact_mask_d1_hh_17,contact_day_1_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d1_hh_17]=""1""",y,,,,,
duration_contact_d1_hh_17,contact_day_1_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d1_hh_17]=""1""",y,,,,,
frequency_contact_d1_hh_17,contact_day_1_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d1_hh_17]=""1""",y,,,,,
known_contact_d1_hh_17,contact_day_1_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d1_hh_17]=""1""",y,,,,,
contact_id_d1_hh_18,contact_day_1_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][18]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 18",y,,,,,
touch_contact_d1_hh_18,contact_day_1_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d1_hh_18]=""1""",y,,,,,
where_contact_d1_hh_18,contact_day_1_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d1_hh_18]=""1""",y,,,,,
location_contact_d1_hh_18,contact_day_1_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d1_hh_18]=""1""",y,,,,,
location_contact_other_d1_18,contact_day_1_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d1_hh_18(12)]=""1""",y,,,,,
contact_mask_d1_hh_18,contact_day_1_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d1_hh_18]=""1""",y,,,,,
duration_contact_d1_hh_18,contact_day_1_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d1_hh_18]=""1""",y,,,,,
frequency_contact_d1_hh_18,contact_day_1_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d1_hh_18]=""1""",y,,,,,
known_contact_d1_hh_18,contact_day_1_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d1_hh_18]=""1""",y,,,,,
contact_id_d1_hh_19,contact_day_1_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][19]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 19",y,,,,,
touch_contact_d1_hh_19,contact_day_1_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d1_hh_19]=""1""",y,,,,,
where_contact_d1_hh_19,contact_day_1_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d1_hh_19]=""1""",y,,,,,
location_contact_d1_hh_19,contact_day_1_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d1_hh_19]=""1""",y,,,,,
location_contact_other_d1_19,contact_day_1_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d1_hh_19(12)]=""1""",y,,,,,
contact_mask_d1_hh_19,contact_day_1_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d1_hh_19]=""1""",y,,,,,
duration_contact_d1_hh_19,contact_day_1_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d1_hh_19]=""1""",y,,,,,
frequency_contact_d1_hh_19,contact_day_1_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d1_hh_19]=""1""",y,,,,,
known_contact_d1_hh_19,contact_day_1_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d1_hh_19]=""1""",y,,,,,
contact_id_d1_hh_20,contact_day_1_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][20]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 20",y,,,,,
touch_contact_d1_hh_20,contact_day_1_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d1_hh_20]=""1""",y,,,,,
where_contact_d1_hh_20,contact_day_1_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d1_hh_20]=""1""",y,,,,,
location_contact_d1_hh_20,contact_day_1_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d1_hh_20]=""1""",y,,,,,
location_contact_other_d1_20,contact_day_1_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d1_hh_20(12)]=""1""",y,,,,,
contact_mask_d1_hh_20,contact_day_1_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d1_hh_20]=""1""",y,,,,,
duration_contact_d1_hh_20,contact_day_1_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d1_hh_20]=""1""",y,,,,,
frequency_contact_d1_hh_20,contact_day_1_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d1_hh_20]=""1""",y,,,,,
known_contact_d1_hh_20,contact_day_1_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d1_hh_20]=""1""",y,,,,,
contact_id_d1_hh_21,contact_day_1_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][21]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 21",y,,,,,
touch_contact_d1_hh_21,contact_day_1_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d1_hh_21]=""1""",y,,,,,
where_contact_d1_hh_21,contact_day_1_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d1_hh_21]=""1""",y,,,,,
location_contact_d1_hh_21,contact_day_1_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d1_hh_21]=""1""",y,,,,,
location_contact_other_d1_21,contact_day_1_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d1_hh_21(12)]=""1""",y,,,,,
contact_mask_d1_hh_21,contact_day_1_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d1_hh_21]=""1""",y,,,,,
duration_contact_d1_hh_21,contact_day_1_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d1_hh_21]=""1""",y,,,,,
frequency_contact_d1_hh_21,contact_day_1_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d1_hh_21]=""1""",y,,,,,
known_contact_d1_hh_21,contact_day_1_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d1_hh_21]=""1""",y,,,,,
contact_id_d1_hh_22,contact_day_1_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][22]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 22",y,,,,,
touch_contact_d1_hh_22,contact_day_1_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d1_hh_22]=""1""",y,,,,,
where_contact_d1_hh_22,contact_day_1_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d1_hh_22]=""1""",y,,,,,
location_contact_d1_hh_22,contact_day_1_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d1_hh_22]=""1""",y,,,,,
location_contact_other_d1_22,contact_day_1_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d1_hh_22(12)]=""1""",y,,,,,
contact_mask_d1_hh_22,contact_day_1_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d1_hh_22]=""1""",y,,,,,
duration_contact_d1_hh_22,contact_day_1_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d1_hh_22]=""1""",y,,,,,
frequency_contact_d1_hh_22,contact_day_1_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d1_hh_22]=""1""",y,,,,,
known_contact_d1_hh_22,contact_day_1_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d1_hh_22]=""1""",y,,,,,
contact_id_d1_hh_23,contact_day_1_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][23]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 23",y,,,,,
touch_contact_d1_hh_23,contact_day_1_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d1_hh_23]=""1""",y,,,,,
where_contact_d1_hh_23,contact_day_1_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d1_hh_23]=""1""",y,,,,,
location_contact_d1_hh_23,contact_day_1_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d1_hh_23]=""1""",y,,,,,
location_contact_other_d1_23,contact_day_1_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d1_hh_23(12)]=""1""",y,,,,,
contact_mask_d1_hh_23,contact_day_1_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d1_hh_23]=""1""",y,,,,,
duration_contact_d1_hh_23,contact_day_1_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d1_hh_23]=""1""",y,,,,,
frequency_contact_d1_hh_23,contact_day_1_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d1_hh_23]=""1""",y,,,,,
known_contact_d1_hh_23,contact_day_1_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d1_hh_23]=""1""",y,,,,,
contact_id_d1_hh_24,contact_day_1_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][24]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 24",y,,,,,
touch_contact_d1_hh_24,contact_day_1_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d1_hh_24]=""1""",y,,,,,
where_contact_d1_hh_24,contact_day_1_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d1_hh_24]=""1""",y,,,,,
